,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
0,ztf,58425.48231479991,671482316315010004,2,671482316315,19.717012,-1,671,0.09513329,19.125982,18.116024,19.0436,0.14040434,0.051830854,0.05538565,0.145,149.8745595,21.3892382,0.66333336,t8_f5_c3,0.0,18.9646,0.1717,571120263.0,False,True,False,bulk_1.0.0,0.0,6.8653952631501e+17
1,ztf,58425.523333299905,671523336315010002,1,671523336315,20.152908,-1,671,0.07929575,19.442886,18.723354,19.4693,0.20311353,0.09924458,0.10469496,0.145,149.874534,21.3892778,0.6766667,t8_f5_c3,0.0,19.3409,0.1637,571120163.0,False,True,False,bulk_1.0.0,0.0,6.8653952631501e+17
2,ztf,58428.501875000075,674501876315010006,2,674501876315,20.33007,-1,674,0.10680839,18.933361,18.20252,19.0692,0.09026362,0.040903784,0.046044372,0.1133,149.8745422,21.3891962,0.89,t8_f5_c3,0.0,19.0687,0.1431,571120263.0,False,True,False,bulk_1.0.0,0.0,6.8653952631501e+17
3,ztf,58428.5440508998,674544056315010004,1,674544056315,20.576427,-1,674,0.028008344,19.236917,18.847044,19.2973,0.1275851,0.08088161,0.08909445,0.1211,149.8745414,21.3892623,0.85333335,t8_f5_c3,0.0,19.2795,0.1513,571120163.0,False,True,False,bulk_1.0.0,0.0,6.8653952631501e+17
4,ztf,58431.48268519994,677482686315010003,1,677482686315,20.195158,-1,677,0.3293527,19.296906,18.807035,19.2813,0.16545722,0.099030845,0.10537511,0.1172,149.8744738,21.389184,0.72333336,t8_f5_c3,0.0,19.3415,0.1573,571120163.0,False,True,False,bulk_1.0.0,0.0,6.8653952631501e+17
5,ztf,58431.52598380018,677525986315010006,2,677525986315,19.866766,-1,677,0.20082414,18.93122,18.203615,18.8592,0.09427247,0.043342177,0.04823288,0.1111,149.8745949,21.3892085,0.63666666,t8_f5_c3,0.0,18.7719,0.1302,571120263.0,False,True,False,bulk_1.0.0,0.0,6.8653952631501e+17
6,ztf,58434.49721059995,680497216315010003,2,680497216315,19.711054,-1,680,0.41749513,19.268991,18.064415,19.3856,0.15393578,0.047221366,0.0507585,0.1792,149.8746192,21.3893123,0.5466667,t8_f5_c3,0.0,19.6865,0.3007,571120263.0,False,True,False,bulk_1.0.0,0.0,7.0754208631501e+17
7,ztf,58434.53874999983,680538746315010005,1,680538746315,20.223886,-1,680,0.6275288,19.46662,18.71132,19.372,0.15414983,0.06945231,0.07688176,0.1145,149.8746,21.3890887,0.52666664,t8_f5_c3,0.0,19.421,0.1517,571120163.0,False,True,False,bulk_1.0.0,0.0,7.0754208631501e+17
8,ztf,58437.48796299985,683487966315010003,1,683487966315,20.2843,-1,683,0.326237,19.3314,18.785625,19.3677,0.162666,0.09184523,0.09839818,0.1149,149.8745621,21.3891619,0.686667,t12_f5_c3,,19.1888,0.1235,,False,True,False,bulk_1.0.0,0.0,7.0754208631501e+17
9,ztf,58437.522696800064,683522696315010004,2,683522696315,19.9786,-1,683,0.717621,18.8571,18.243587,18.8946,0.110778,0.059004955,0.06295771,0.102,149.8744952,21.3890271,0.826667,t12_f5_c3,,18.8409,0.1231,,False,True,False,bulk_1.0.0,0.0,7.0754208631501e+17
10,ztf,58439.39730319986,685397306315010000,2,685397306315,20.152514,-1,685,0.09820837,18.910574,18.21433,18.8036,0.09712018,0.046466406,0.05114609,0.1246,149.874518,21.3892053,0.75333333,t8_f5_c3,0.0,18.8102,0.1593,571120263.0,False,True,False,bulk_1.0.0,0.0,7.0754208631501e+17
11,ztf,58439.48490739986,685484906315010003,1,685484906315,20.650312,-1,685,0.03284044,19.21304,18.864037,19.1705,0.13846473,0.09295146,0.10040092,0.1111,149.8745362,21.3892463,0.69,t8_f5_c3,0.0,19.1225,0.1347,571120163.0,False,True,False,bulk_1.0.0,0.0,7.0754208631501e+17
12,ztf,58440.49915509997,686499156315010002,1,686499156315,20.866219,-1,686,0.04299253,19.135853,18.923649,18.9667,0.106952764,0.07829624,0.08796505,0.0716,149.8745432,21.3892397,0.78,t8_f5_c3,0.0,18.9155,0.0862,571120163.0,False,True,False,bulk_1.0.0,0.0,7.0754208631501e+17
13,ztf,58440.53952550003,686539526315010006,2,686539526315,20.59964,-1,686,0.04170555,18.831026,18.25869,18.9197,0.08208479,0.043035887,0.048453856,0.0939,149.8745225,21.3892233,0.8233333,t8_f5_c3,0.0,18.9553,0.1225,571120263.0,False,True,False,bulk_1.0.0,0.0,7.0754208631501e+17
14,ztf,58442.40361109981,688403616315010025,2,688403616315,19.113716,-1,688,0.27524126,19.174644,18.097412,19.3307,0.18483013,0.06578796,0.068529874,0.5095,149.874457,21.38924,0.66333336,t8_f5_c3,0.0,19.2608,0.6129,571120263.0,False,True,False,bulk_1.0.0,0.0,7.0754208631501e+17
15,ztf,58443.44234950002,689442346315010000,2,689442346315,19.972599,-1,689,0.116267644,18.991875,18.173843,19.1421,0.09161315,0.037893802,0.043126646,0.2046,149.8745421,21.3891936,0.82,t8_f5_c3,0.0,19.2592,0.2912,571120263.0,False,True,False,bulk_1.0.0,0.0,7.0754208631501e+17
16,ztf,58443.519895799924,689519896315010001,1,689519896315,20.53648,-1,689,0.06424895,19.216513,18.861525,19.2909,0.111934476,0.07128544,0.08071764,0.1277,149.8745375,21.3892369,0.84,t8_f5_c3,0.0,19.4177,0.1826,571120163.0,False,True,False,bulk_1.0.0,0.0,7.0754208631501e+17
17,ztf,58447.46149310004,693461496315010001,2,693461496315,19.522654,-1,693,0.32302663,19.216051,18.082453,19.2979,0.14412841,0.047072213,0.050735295,0.2633,149.8745939,21.3891529,0.81333333,t8_f5_c3,0.0,19.2861,0.3333,571120263.0,False,True,False,bulk_1.0.0,0.0,7.0754208631501e+17
18,ztf,58447.54084490007,693540846315010001,2,693540846315,19.54055,-1,693,0.48527947,19.04742,18.14865,18.9762,0.14657877,0.060815115,0.06405637,0.177,149.8745075,21.3890914,0.72333336,t8_f5_c3,0.0,19.0112,0.2337,571120263.0,False,True,False,bulk_1.0.0,0.0,7.0754208631501e+17
19,ztf,58448.46187500004,694461876315010001,2,694461876315,19.435545,-1,694,0.16734582,19.018,18.16176,18.6499,0.123766676,0.052432973,0.056248117,0.1492,149.8744912,21.3892008,0.56333333,t8_f5_c3,0.0,18.614,0.1848,571120263.0,False,True,False,bulk_1.0.0,0.0,7.0754208631501e+17
20,ztf,58457.54731479986,703547316315010004,1,703547316315,20.742098,-1,703,0.118329674,19.319576,18.792841,19.5549,0.10812404,0.056277882,0.066562265,0.1319,149.8745169,21.3892305,0.86333334,t8_f5_c3,0.0,19.5849,0.1715,571120163.0,False,True,False,bulk_1.0.0,0.0,7.0754208631501e+17
21,ztf,58461.47642360022,707476426315010001,1,707476426315,20.247128,-1,707,0.24323377,19.404856,18.74349,19.2898,0.13273118,0.06369168,0.0721816,0.1328,149.8746135,21.3892372,0.7033333,t8_f5_c3,0.0,19.3723,0.1822,571120163.0,False,True,False,bulk_1.0.0,0.0,7.0754208631501e+17
22,ztf,58461.542083300184,707542086315010005,2,707542086315,20.45611,-1,707,0.15904866,19.071854,18.138142,19.0817,0.09639233,0.035593152,0.04079036,0.1168,149.8745261,21.3891828,0.86,t8_f5_c3,0.0,19.0461,0.143,571120263.0,False,True,False,bulk_1.0.0,0.0,7.2648214631501e+17
23,ztf,58468.49817130016,714498176315010007,2,714498176315,20.618158,-1,714,0.11028012,19.0152,18.163034,19.018,0.08941959,0.035331517,0.04079124,0.097,149.8745344,21.3891944,0.88666666,t8_f5_c3,0.0,18.9513,0.1148,571120263.0,False,True,False,bulk_1.0.0,0.0,7.2648214631501e+17
24,ztf,58471.525080999825,717525086315010006,2,717525086315,20.458693,-1,717,0.11107693,18.984798,18.17719,18.9896,0.09180858,0.038437903,0.043635555,0.1019,149.8745336,21.3891944,0.8933333,t8_f5_c3,0.0,18.9804,0.1276,571120263.0,False,True,False,bulk_1.0.0,0.0,7.2648214631501e+17
