,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
0,ztf,59672.32270829985,1918322706215015009,1,1918322706215,20.782497,1,1918,1.0060499,19.499426,18.673838,19.4552,0.117352076,0.044972014,0.054859914,0.1185,221.7553612,71.2120864,0.92714286,t17_f5_c3,0.99992186,19.5781,0.167,846120162.0,True,True,False,correction_1.0.6,0.0,
1,ztf,59672.32270829985,1918322706215025010,1,1918322706215,20.7893,1,1918,1.00674,19.5547,18.699327,19.5022,0.119604,0.04387184,0.054399654,0.1227,221.7553611,71.2120862,0.928571,t17_f5_c3,,19.6109,0.1709,,False,True,False,correction_1.0.6,0.0,1.940325746215015e+18
2,ztf,59675.20138890017,1921201386215015003,2,1921201386215,20.131866,1,1921,0.7550182,19.498209,18.401396,19.5209,0.15688355,0.046129584,0.057128362,0.2471,221.7553538,71.2121161,0.89857143,t17_f5_c3,0.99979043,19.4757,0.3024,846120262.0,True,True,False,correction_1.0.6,0.0,
3,ztf,59675.38343749987,1921383436215015005,1,1921383436215,20.430378,1,1921,0.84516144,19.694427,18.76066,19.7405,0.16986914,0.06331184,0.071879886,0.1909,221.7553648,71.212136,0.94142854,t17_f5_c3,0.9997224,20.0412,0.32,846120162.0,True,True,False,correction_1.0.6,0.0,
4,ztf,59677.324479199946,1923324476215015007,1,1923324476215,19.9483,1,1923,0.977487,19.8426,18.82091,20.0647,0.252496,0.091729574,0.09853226,0.3206,221.7555261,71.2121042,0.708571,t17_f5_c3,,20.2132,0.4693,,False,True,False,correction_1.0.6,0.0,1.923389516215015e+18
5,ztf,59677.38951390004,1923389516215015004,2,1923389516215,20.120308,1,1923,0.73862207,19.548567,18.419464,19.5789,0.15882526,0.044470612,0.05614074,0.2156,221.7554786,71.2121334,0.9628571,t17_f5_c3,0.9996195,19.6837,0.3023,846120262.0,True,True,False,correction_1.0.6,0.0,
6,ztf,59679.22107640002,1925221076215015005,2,1925221076215,19.971994,1,1925,0.8070156,19.648655,18.453796,19.7522,0.18162504,0.048996367,0.060427226,0.3135,221.7552017,71.2121004,0.93285716,t17_f5_c3,0.9999014,19.6941,0.38,846120262.0,True,True,False,correction_1.0.6,0.0,
7,ztf,59682.36839119997,1928368396215015013,2,1928368396215,19.6068,1,1928,0.939197,19.8648,18.521044,20.2666,0.277976,0.07131406,0.08063155,0.6,221.7554917,71.2120698,0.655714,t17_f5_c3,,20.2345,0.7472,,False,True,False,correction_1.0.6,0.0,1.940325746215015e+18
8,ztf,59687.40915510012,1933409156215015015,2,1933409156215,19.5783,1,1933,0.822172,19.8986,18.53074,20.0128,0.24458,0.058079846,0.06938685,0.5443,221.7555001,71.2121108,0.792857,t17_f5_c3,,20.0634,0.731,,False,True,False,correction_1.0.6,0.0,1.940325746215015e+18
9,ztf,59690.34822920011,1936348226215015007,2,1936348226215,20.1111,1,1936,0.99748,19.7957,18.500544,20.0028,0.206285,0.05052148,0.0625756,0.3639,221.7554037,71.212048,0.911429,t17_f5_c3,,19.92,0.4308,,False,True,False,correction_1.0.6,0.0,1.940325746215015e+18
10,ztf,59694.32574070012,1940325746215015006,2,1940325746215,20.100647,1,1940,0.66404676,20.060358,18.574236,20.1499,0.18002489,0.023158588,0.045801904,0.3955,221.7552016,71.2121417,0.96428573,t17_f5_c3,0.9999963,19.821,0.3733,846120262.0,True,True,False,correction_1.0.6,0.0,
