,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid
0,ztf,59621.46853009984,1867468535615015057,1,1867468535615,20.4311,1,1867,0.301603,20.3851,18.207132,20.425,0.221736,100.0,0.029829742,0.3607,179.7020101,72.4374776,0.875714,t17_f5_c3,20.593,0.5262,False,True,True,correction_1.0.6,0.0,1.871260575615015e+18,,
1,ztf,59621.46853009984,1867468535615025016,1,1867468535615,20.435,1,1867,0.31974,20.4009,18.209246,20.5518,0.226969,100.0,0.030151198,0.4039,179.7019899,72.4374773,0.907143,t17_f5_c3,20.7829,0.6245,False,True,False,correction_1.0.6,0.0,1.882405915615015e+18,,
2,ztf,59623.36276620021,1869362765615015004,2,1869362765615,19.739,1,1869,1.03004,19.8533,17.659563,19.5974,0.226738,100.0,0.03006279,0.3188,179.7016758,72.4372887,0.801429,t17_f5_c3,19.6159,0.411,False,True,True,correction_1.0.6,0.0,1.871260575615015e+18,,
3,ztf,59625.260578699876,1871260575615015006,2,1871260575615,19.472853,1,1871,0.39963296,19.631376,17.627396,20.2045,0.2159399,100.0,0.034098938,0.7129,179.7020303,72.4374425,0.75,t17_f5_c3,19.8584,0.6607,True,True,True,correction_1.0.6,0.0,,0.9999527,843120256.0
4,ztf,59628.41146990005,1874411465615015079,2,1874411465615,19.1739,1,1874,0.450653,19.5219,17.609358,19.1648,0.23993,100.0,0.041216176,0.3076,179.7020221,72.4375604,0.595714,t17_f5_c3,19.247,0.4232,False,True,False,correction_1.0.6,0.0,1.882405915615015e+18,,
5,ztf,59636.40591439977,1882405915615015010,2,1882405915615,20.356956,1,1882,0.54638666,19.472551,17.60072,19.4136,0.15737398,100.0,0.02806727,0.1767,179.7018638,72.4374704,0.8842857,t17_f5_c3,19.5929,0.2579,True,True,False,correction_1.0.6,0.0,,0.99972475,843120256.0
6,ztf,59639.263807899784,1885263805615015003,2,1885263805615,19.927479,1,1885,0.31723666,19.4114,17.589558,19.1806,0.13405286,100.0,0.02503452,0.1628,179.7022717,72.4374049,0.78571427,t17_f5_c3,19.104,0.1892,True,True,False,correction_1.0.6,0.0,,0.9994416,843120256.0
7,ztf,59641.27337960014,1887273375615015014,2,1887273375615,20.296276,1,1887,0.6112821,19.75337,17.645773,19.8478,0.16255523,100.0,0.02333252,0.2775,179.7018527,72.4374177,0.94142854,t17_f5_c3,19.8415,0.3428,True,True,False,correction_1.0.6,0.0,,0.9999896,843120256.0
8,ztf,59671.348240700085,1917348245615015017,2,1917348245615,20.4724,1,1917,0.547536,19.6512,17.630503,19.24,0.135204,100.0,0.02102378,0.142,179.7019879,72.4373868,0.792857,t17_f5_c3,19.1483,0.16,False,True,False,correction_1.0.6,0.0,1.930326975615015e+18,,
9,ztf,59671.43252310017,1917432525615015033,1,1917432525615,20.6905,1,1917,0.485931,20.7616,18.2508,20.3318,0.239558,100.0,0.02371868,0.3116,179.7019799,72.4374161,0.785714,t17_f5_c3,20.3286,0.3851,False,True,False,correction_1.0.6,0.0,1.930326975615015e+18,,
10,ztf,59674.452395800035,1920452395615015013,2,1920452395615,20.0964,1,1920,0.370587,19.9773,17.67521,19.9818,0.267554,100.0,0.032105234,0.3622,179.702044,72.437454,0.814286,t17_f5_c3,19.9347,0.4344,False,True,False,correction_1.0.6,0.0,1.930326975615015e+18,,
11,ztf,59676.45854170015,1922458545615015011,2,1922458545615,19.5654,1,1922,1.03218,19.5919,17.621067,19.8595,0.254411,100.0,0.041419275,0.3671,179.7014074,72.4375006,0.738571,t17_f5_c3,19.6249,0.3728,False,True,False,correction_1.0.6,0.0,1.930326975615015e+18,,
12,ztf,59684.32697919989,1930326975615015014,2,1930326975615,19.740046,1,1930,0.57896703,19.784252,17.65015,19.9284,0.21463129,100.0,0.030064404,0.4855,179.7018297,72.4374834,0.8757143,t17_f5_c3,19.711,0.5046,True,True,False,correction_1.0.6,0.0,,0.9998461,843120256.0
