,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
0,ztf,58389.313217599876,635313215415015006,2,635313215415,19.487019,1,635,0.45847145,19.083717,18.121244,18.806,0.13240731,0.041632134,0.054566078,0.2029,16.2602674,-21.936777,0.6566667,t8_f5_c3,0.0,18.6766,0.2306,247120254.0,False,True,False,bulk_1.0.0,0.0,643335755415015014
1,ztf,58389.33560189977,635335605415015003,1,635335605415,19.339792,1,635,0.28578633,18.93929,18.416912,19.0988,0.14463872,0.08641259,0.08939924,0.274,16.2602851,-21.9367678,0.77666664,t8_f5_c3,0.0,18.9363,0.3028,247120154.0,False,True,False,bulk_1.0.0,0.0,643335755415015014
2,ztf,58397.33575229999,643335755415015014,1,643335755415,20.443039,1,643,0.23961982,18.665977,18.24004,18.5242,0.09856787,0.06367219,0.066582516,0.0677,16.2602724,-21.9367824,0.76666665,t8_f5_c3,0.0,18.4442,0.0791,247120154.0,False,True,False,bulk_1.0.0,0.0,668314725415015005
3,ztf,58422.314722199924,668314725415015005,2,668314725415,19.392609,1,668,0.71244353,18.92049,18.050982,19.2012,0.15965961,0.063597925,0.0716789,0.2258,16.2603449,-21.9367559,0.6933333,t8_f5_c3,0.0,19.1933,0.2861,247120254.0,False,True,False,bulk_1.0.0,0.0,674231295415015006
4,ztf,58425.33560189977,671335605415015007,1,671335605415,19.4082,1,671,0.389925,20.0054,18.947477,19.9767,0.325993,0.11723062,0.1230381,0.5348,16.2603071,-21.9368269,0.69,t12_f5_c3,,19.7566,0.5595,,False,True,False,bulk_1.0.0,0.0,674231295415015006
5,ztf,58428.2096644002,674209665415015006,1,674209665415,20.283285,1,674,0.12941416,19.83255,18.878967,19.799,0.1745996,0.06350534,0.07254549,0.2185,16.2602299,-21.9368055,0.87333333,t8_f5_c3,0.0,19.7454,0.2643,247120154.0,False,True,False,bulk_1.0.0,0.0,703176945415015007
6,ztf,58428.23129629996,674231295415015006,2,674231295415,19.98777,1,674,0.46917206,19.179174,18.159573,19.2494,0.11790099,0.0281021,0.046097398,0.1671,16.2602712,-21.9367626,0.8466667,t8_f5_c3,0.0,19.213,0.2047,247120254.0,False,True,False,bulk_1.0.0,0.0,703176945415015007
7,ztf,58431.188171300106,677188175415015022,2,677188175415,19.2265,1,677,0.65494,19.0537,18.108772,19.7315,0.280963,0.112388074,0.117673464,0.318,16.2603181,-21.9368191,0.63,t12_f5_c3,,19.6623,0.3809,,False,True,False,bulk_1.0.0,0.0,703176945415015007
8,ztf,58431.23057870008,677230575415015108,1,677230575415,19.4835,1,677,0.487428,19.8019,18.866129,19.7797,0.359708,0.14792325,0.15192913,0.2275,16.2602978,-21.9366787,0.456667,t12_f5_c3,,19.8233,0.302,,False,True,False,bulk_1.0.0,0.0,703176945415015007
9,ztf,58434.27125000022,680271245415015045,1,680271245415,19.4827,1,680,1.44688,19.6307,,19.5924,0.318347,,,0.2062,16.2597848,-21.936913,0.473333,t12_f5_c3,,19.5418,0.251,,False,False,True,bulk_1.0.0,0.0,680294355415015039
10,ztf,58434.2943519,680294355415015039,2,680294355415,19.170517,1,680,0.2527277,19.092072,18.12468,19.0327,0.21588852,0.08119126,0.088567145,0.1756,16.2600688,-21.936807,0.41,t8_f5_c3,0.0,19.261,0.2761,247120254.0,False,True,False,bulk_1.0.0,0.0,703176945415015007
11,ztf,58437.270150499884,683270155415015002,2,683270155415,19.534193,1,683,0.8226125,19.270199,18.194258,19.4427,0.1647899,0.048152883,0.06117223,0.2582,16.2603745,-21.9368031,0.7633333,t8_f5_c3,0.0,19.5716,0.3711,247120254.0,False,True,False,bulk_1.0.0,0.0,703176945415015007
12,ztf,58457.176944400184,703176945415015007,2,703176945415,19.381084,1,703,1.0598278,19.343052,18.220736,19.2691,0.19705613,0.058466125,0.07009115,0.195,16.2604345,-21.9366705,0.44666666,t8_f5_c3,0.0,19.3137,0.2585,247120254.0,True,True,False,bulk_1.0.0,0.0,0
