,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
0,ztf,58758.182407400105,1004182405415015007,2,1004182405415,20.131176,1,1004,8.699578,16.325277,16.2957,0.0332092,0.0124,355.1564902,42.5910203,0.88285714,t17_f5_c3,0.9926036,16.2542,0.0144,735120254.0,False,False,False,bulk_1.0.0,0.0,1007173855415015010
1,ztf,58760.17482639989,1006174825415015008,2,1006174825415,20.469175,1,1006,8.682314,16.579416,16.4955,0.036842052,0.0134,355.1564818,42.5910186,0.8,t17_f5_c3,0.86100686,16.4277,0.0152,735120254.0,False,False,False,bulk_1.0.0,0.0,1007173855415015010
2,ztf,58760.20366899995,1006203665415015008,1,1006203665415,20.579975,1,1006,2.0869062,16.454393,16.4375,0.041484322,0.0111,355.1565002,42.5910201,0.91571426,t17_f5_c3,0.9477556,16.4073,0.0128,735120154.0,False,False,False,bulk_1.0.0,0.0,1007173855415015010
3,ztf,58761.17385420017,1007173855415015010,2,1007173855415,20.157621,1,1007,8.711616,16.66379,16.5984,0.037121832,0.0165,355.1565091,42.5910268,0.79714286,t17_f5_c3,0.99692935,16.5215,0.0189,735120254.0,False,False,False,bulk_1.0.0,0.0,1011184955415015006
4,ztf,58761.202731499914,1007202735415015011,1,1007202735415,20.33761,1,1007,1.9810582,16.53362,16.5007,0.041781552,0.013,355.1565015,42.5909929,0.8842857,t17_f5_c3,0.9793531,16.453,0.015,735120154.0,False,False,False,bulk_1.0.0,0.0,1011184955415015006
5,ztf,58762.17361109983,1008173615415015009,2,1008173615415,20.246185,1,1008,8.728057,16.766174,16.6944,0.03441799,0.0174,355.1565056,42.5910282,0.8242857,t17_f5_c3,0.9982427,16.6336,0.0203,735120254.0,False,False,False,bulk_1.0.0,0.0,1011184955415015006
6,ztf,58762.20197919989,1008201975415015015,1,1008201975415,20.319387,1,1008,2.03194,16.551207,16.5058,0.032829817,0.0136,355.1564956,42.5910037,0.8242857,t17_f5_c3,0.9930724,16.4537,0.0159,735120154.0,False,False,False,bulk_1.0.0,0.0,1011184955415015006
7,ztf,58763.17495370004,1009174955415015011,2,1009174955415,20.319513,1,1009,8.703279,16.791021,16.6941,0.035740618,0.0174,355.1564877,42.5910296,0.7871429,t17_f5_c3,0.83586127,16.618,0.0201,735120254.0,False,False,False,bulk_1.0.0,0.0,1011184955415015006
8,ztf,58763.20346060023,1009203465415015006,1,1009203465415,20.264565,1,1009,2.1353993,16.713404,16.7192,0.054107655,0.017,355.1564993,42.5910354,0.8442857,t17_f5_c3,0.9941168,16.6703,0.0201,735120154.0,False,False,False,bulk_1.0.0,0.0,1011184955415015006
9,ztf,58765.18495369982,1011184955415015006,1,1011184955415,20.117563,1,1011,2.1040175,16.87372,16.7896,0.04417471,0.0215,355.1564881,42.591029,0.81285715,t17_f5_c3,0.99466974,16.7501,0.026,735120154.0,False,False,False,bulk_1.0.0,0.0,1015153645415015004
10,ztf,58766.18351850007,1012183515415015004,1,1012183515415,19.74348,1,1012,2.0519717,16.905401,16.862,0.043664776,0.0275,355.1564951,42.5910139,0.86714286,t17_f5_c3,0.9969849,16.815,0.0333,735120154.0,False,False,False,bulk_1.0.0,0.0,1015153645415015004
11,ztf,58767.15317129996,1013153175415015004,2,1013153175415,19.171413,1,1013,8.717184,17.079973,16.9774,0.048409123,0.0399,355.1564907,42.5910262,0.6957143,t17_f5_c3,0.9983789,16.8927,0.047,735120254.0,False,False,False,bulk_1.0.0,0.0,1015153645415015004
12,ztf,58767.18103010021,1013181035415015006,1,1013181035415,18.7491,1,1013,1.97209,17.0487,17.1224,0.066603,0.0425,355.156504,42.5909872,0.422857,t17_f5_c3,,17.0408,0.0503,,False,False,False,bulk_1.0.0,0.0,1015153645415015004
13,ztf,58768.153750000056,1014153745415015007,2,1014153745415,19.660625,1,1014,8.767582,17.219007,17.1848,0.05031967,0.0457,355.1564895,42.5910401,0.81857145,t17_f5_c3,0.9989436,17.1905,0.0586,735120254.0,False,False,False,bulk_1.0.0,0.0,1015153645415015004
14,ztf,58768.18162039993,1014181625415015002,1,1014181625415,19.443401,1,1014,2.1535697,17.062592,17.1243,0.05190158,0.046,355.1565037,42.5910404,0.94857144,t17_f5_c3,0.9999985,17.1485,0.06,735120154.0,False,False,False,bulk_1.0.0,0.0,1015153645415015004
15,ztf,58769.15364579996,1015153645415015004,2,1015153645415,19.344057,1,1015,8.719595,17.272453,17.2268,0.054014076,0.0576,355.1564994,42.5910256,0.8442857,t17_f5_c3,0.9998777,17.2459,0.0748,735120254.0,False,False,False,bulk_1.0.0,0.0,1016181595415015002
16,ztf,58769.181539400015,1015181535415015004,1,1015181535415,19.39772,1,1015,2.13529,17.207195,17.2382,0.05083137,0.0571,355.1565,42.5910394,0.9457143,t17_f5_c3,0.9999526,17.3474,0.0807,735120154.0,False,False,False,bulk_1.0.0,0.0,1016181595415015002
17,ztf,58770.15371529991,1016153715415015001,2,1016153715415,19.249481,1,1016,8.815501,18.306278,18.4849,0.09789197,0.1887,355.1564983,42.5910594,0.86,t17_f5_c3,0.99917454,18.3233,0.2088,735120254.0,False,False,False,bulk_1.0.0,0.0,1016181595415015002
18,ztf,58770.18159720022,1016181595415015002,1,1016181595415,19.189455,1,1016,2.0630908,18.174612,18.2395,0.09137187,0.1532,355.1564807,42.5910169,0.87714285,t17_f5_c3,0.99976754,18.3022,0.2083,735120154.0,True,False,False,bulk_1.0.0,0.0,0
