,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
0,ztf,58758.17554400023,1004175545315015008,2,1004175545315,20.09843,1,1004,3.2962286,17.896435,17.7979,0.071031936,0.0427,343.2743147,51.1810179,0.86714286,t17_f5_c3,0.9999999,17.7482,0.0514,771120253.0,False,False,False,bulk_1.0.0,0.0,1022177115315015014
1,ztf,58758.21219909983,1004212195315015011,1,1004212195315,20.810411,1,1004,3.3159573,17.708666,17.6665,0.0540145,0.0247,343.2743027,51.1810194,0.94142854,t17_f5_c3,0.9999999,17.6588,0.0299,771120153.0,False,False,False,bulk_1.0.0,0.0,1022177115315015014
2,ztf,58758.22270830022,1004222705315015009,2,1004222705315,20.497667,1,1004,3.287855,17.976744,18.0734,0.06029256,0.0451,343.2742693,51.1810367,0.9285714,t17_f5_c3,1.0,18.0961,0.0576,771120253.0,False,False,False,bulk_1.0.0,0.0,1005242655315015010
3,ztf,58758.23240739992,1004232405315015007,2,1004232405315,20.608967,1,1004,3.302426,17.950773,17.9251,0.05451417,0.0373,343.2743019,51.181026,0.93142855,t17_f5_c3,0.9999508,17.9224,0.0462,771120253.0,False,False,False,bulk_1.0.0,0.0,1005242655315015010
4,ztf,58758.24336809991,1004243365315015008,1,1004243365315,20.859735,1,1004,3.3313255,17.682413,17.68,0.04616373,0.0245,343.2742921,51.1810306,0.94714284,t17_f5_c3,1.0,17.6724,0.0298,771120153.0,False,False,False,bulk_1.0.0,0.0,1005242655315015010
5,ztf,58758.25309030013,1004253095315015005,1,1004253095315,20.89373,1,1004,3.3378878,17.775385,17.7389,0.05833536,0.0255,343.2743076,51.1810247,0.9514286,t17_f5_c3,0.9999999,17.7166,0.0306,771120153.0,False,False,False,bulk_1.0.0,0.0,1005242655315015010
6,ztf,58758.30344909988,1004303445315015012,2,1004303445315,20.4187,1,1004,3.3067,17.9422,17.9226,0.071943,0.0413,343.274306,51.1810264,0.904286,t17_f5_c3,,17.9193,0.0516,,False,False,False,bulk_1.0.0,0.0,1005242655315015010
7,ztf,58758.34436339978,1004344365315015006,1,1004344365315,20.7772,1,1004,3.39612,17.7836,17.8417,0.079778,0.0298,343.2743157,51.1810423,0.932857,t17_f5_c3,,17.8247,0.0363,,False,False,False,bulk_1.0.0,0.0,1005242655315015010
8,ztf,58759.2111343001,1005211135315015053,2,1005211135315,20.705065,1,1005,3.3139513,18.05272,18.0669,0.06186926,0.0398,343.2742984,51.181033,0.87857145,t17_f5_c3,0.9999956,18.0773,0.0499,771120253.0,False,False,False,bulk_1.0.0,0.0,1022177115315015014
9,ztf,58759.22196759982,1005221965315015034,2,1005221965315,20.71897,1,1005,3.2675653,18.059774,18.0792,0.05143293,0.0399,343.2742839,51.1810232,0.9,t17_f5_c3,0.99999964,18.0443,0.0481,771120253.0,False,False,False,bulk_1.0.0,0.0,1005242655315015010
