,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid
0,ztf,58791.31101850001,1037311010815015014,1,1037311010815,20.5292,1,1037,0.249445,18.9365,16.399628,19.1624,0.101304,100.0,0.009792133,0.1235,17.2763068,80.975229,0.818571,t17_f5_c3,19.3009,0.1699,False,True,False,bulk_1.0.0,0.0,1.060182650815015e+18,,
1,ztf,58799.26827549981,1045268270815015006,2,1045268270815,19.1819,1,1045,0.171473,17.7342,15.673679,17.8497,0.086067,100.0,0.012901158,0.0964,17.2761243,80.9752471,0.78,t17_f5_c3,17.8451,0.1215,False,True,False,bulk_1.0.0,0.0,1.060182650815015e+18,,
2,ztf,58804.194560199976,1050194560815010013,1,1050194560815,20.0171,-1,1050,0.180744,17.9802,16.834251,18.0171,0.060753,0.011830713,0.021144066,0.0562,17.2763606,80.9752719,0.964286,t17_f5_c3,17.9771,0.0678,False,True,False,bulk_1.0.0,0.0,1.060182650815015e+18,,
3,ztf,58812.13343749987,1058133430815010009,1,1058133430815,20.2505,-1,1058,0.292323,19.0198,16.62331,19.0331,0.10809,100.0,0.011890213,0.1277,17.2766172,80.9752745,0.954286,t17_f5_c3,18.8416,0.1327,False,True,False,bulk_1.0.0,0.0,1.060182650815015e+18,,
4,ztf,58812.17950229999,1058179500815015005,2,1058179500815,20.0487,1,1058,0.482529,17.971,15.706049,18.0974,0.107346,100.0,0.013329234,0.0734,17.2769391,80.9753012,0.882857,t17_f5_c3,18.2484,0.1034,False,True,False,bulk_1.0.0,0.0,1.060182650815015e+18,,
5,ztf,58814.18265049998,1060182650815015008,2,1060182650815,18.641296,1,1060,1.5290526,18.08743,,17.9292,0.16134712,,,0.1659,17.2770095,80.9748848,0.6142857,t17_f5_c3,17.858,0.1972,True,False,True,bulk_1.0.0,0.0,0.0,0.9732789,869120208.0
6,ztf,58833.13738430012,1079137380815015012,1,1079137380815,19.9103,1,1079,0.43125,18.6485,16.368206,18.7805,0.104096,0.0056802537,0.012744315,0.101,17.2766165,80.9753731,0.85,t17_f5_c3,18.7821,0.125,False,True,False,bulk_1.0.0,0.0,1.10911660081501e+18,,
7,ztf,58833.23100689985,1079231000815010007,2,1079231000815,19.6812,-1,1079,0.195835,17.8914,16.029728,17.9328,0.060634,100.0,0.0109156,0.0674,17.2758366,80.975256,0.934286,t17_f5_c3,17.972,0.0873,False,True,False,bulk_1.0.0,0.0,1.10911660081501e+18,,
8,ztf,58833.34347219998,1079343470815015006,2,1079343470815,19.3347,1,1079,0.657231,18.0791,15.718901,18.0636,0.152759,0.0042831576,0.0173751,0.0886,17.2768602,80.975428,0.572857,t17_f5_c3,17.9456,0.0996,False,True,False,bulk_1.0.0,0.0,1.10911660081501e+18,,
9,ztf,58836.14296300011,1082142960815015009,1,1082142960815,20.2496,1,1082,0.159546,19.5988,16.44864,19.7452,0.131416,100.0,0.007220789,0.2228,17.2757837,80.97529,0.908571,t17_f5_c3,19.8362,0.2988,False,True,False,bulk_1.0.0,0.0,1.10911660081501e+18,,
10,ztf,58837.10200229986,1083102000815015008,2,1083102000815,19.908,1,1083,0.299804,17.8059,15.684131,17.866,0.06342,100.0,0.008985001,0.0576,17.2765907,80.9753098,0.927143,t17_f5_c3,17.9148,0.0741,False,True,False,bulk_1.0.0,0.0,1.10911660081501e+18,,
11,ztf,58846.261979199946,1092261970815010018,2,1092261970815,19.8035,-1,1092,0.165348,17.9993,16.011393,18.0142,0.057291,100.0,0.009181709,0.0668,17.2760204,80.9752433,0.922857,t17_f5_c3,18.0619,0.0866,False,True,False,bulk_1.0.0,0.0,1.10911660081501e+18,,
12,ztf,58849.15415510023,1095154150815015011,2,1095154150815,20.2587,1,1095,0.102101,18.1191,15.723377,18.2217,0.099532,100.0,0.010956538,0.0736,17.2762643,80.9752915,0.807143,t17_f5_c3,18.231,0.0907,False,True,False,bulk_1.0.0,0.0,1.10911660081501e+18,,
