,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
0,ztf,58811.184780099895,1057184780415015002,1,1057184780415,19.708237,1,1057,6.6047955,17.485207,17.4328,0.05544173,0.0321,305.8138236,74.2980221,0.7828571,t17_f5_c3,0.9999357,17.3967,0.0389,866120104.0,False,False,False,bulk_1.0.0,0.0,1.060160050415015e+18
1,ztf,58812.099618100096,1058099610415015009,2,1058099610415,19.987562,1,1058,6.450309,17.209515,17.2204,0.041487634,0.0296,305.8137011,74.2980456,0.92714286,t17_f5_c3,0.9999845,17.253,0.0382,866120204.0,False,False,False,bulk_1.0.0,0.0,1.060160050415015e+18
2,ztf,58812.12959490018,1058129590415015002,1,1058129590415,20.285084,1,1058,6.5082407,17.604294,17.5187,0.042579304,0.0306,305.8137383,74.2980321,0.9242857,t17_f5_c3,0.99999994,17.4916,0.0373,866120104.0,False,False,False,bulk_1.0.0,0.0,1.060160050415015e+18
3,ztf,58814.16005790001,1060160050415015002,2,1060160050415,19.227936,1,1060,6.603405,17.56738,17.6051,0.0660601,0.0603,305.8137845,74.298016,0.7457143,t17_f5_c3,0.9999229,17.6523,0.0801,866120204.0,False,False,False,bulk_1.0.0,0.0,1.066137430415015e+18
4,ztf,58819.08827550011,1065088270415015003,2,1065088270415,18.1117,1,1065,6.8184,18.2807,18.0809,0.229603,0.3494,305.8140196,74.2979945,0.501429,t17_f5_c3,,18.0486,0.4358,,False,False,False,bulk_1.0.0,0.0,1.066137430415015e+18
5,ztf,58820.13743059989,1066137430415015001,1,1066137430415,18.710426,1,1066,6.3212495,18.539524,18.2508,0.17873041,0.259,305.8136378,74.2980832,0.69142854,t17_f5_c3,0.78877705,18.6545,0.4814,866120104.0,True,False,False,bulk_1.0.0,0.0,0.0
6,ztf,59035.21758100018,1281217580415015001,1,1281217580415,19.056448,1,1281,6.5078773,18.09718,17.9608,0.08584337,0.1123,305.8137222,74.2980271,0.8214286,t17_f5_c3,0.99999934,17.9664,0.1448,866120104.0,False,False,False,bulk_1.0.0,0.0,1.281349750415015e+18
7,ztf,59035.34975690022,1281349750415015001,2,1281349750415,19.696754,1,1281,6.4233356,18.172861,18.0957,0.06293579,0.0911,305.8136669,74.298061,0.8685714,t17_f5_c3,0.99860907,18.1005,0.1169,866120204.0,True,False,False,bulk_1.0.0,0.0,0.0
8,ztf,59639.4917708002,1885491770415015002,2,1885491770415,19.792,1,1885,6.5027204,17.486235,17.4885,0.042452473,0.0345,305.81367,74.2980153,0.77,t17_f5_c3,0.999979,17.5167,0.0446,866120204.0,True,False,False,correction_1.0.6,0.0,
9,ztf,59641.49261569977,1887492610415015004,2,1887492610415,20.229599,1,1887,6.46108,17.680956,17.6906,0.044236604,0.0391,305.8137194,74.2980591,0.88714284,t17_f5_c3,0.9998808,17.7617,0.0526,866120204.0,True,False,False,correction_1.0.6,0.0,
10,ztf,59641.514398099855,1887514390415015001,1,1887514390415,20.489073,1,1887,6.3783617,17.833366,17.8492,0.046776105,0.036,305.8136414,74.298059,0.92714286,t17_f5_c3,1.0,17.8296,0.0443,866120104.0,True,False,False,correction_1.0.6,0.0,
11,ztf,59737.28674770007,1983286740415015006,2,1983286740415,20.338581,1,1983,6.410658,18.804296,18.5798,0.08064947,0.0793,305.8136366,74.2980494,0.79142857,t17_f5_c3,0.9999364,18.681,0.1104,866120204.0,True,False,False,1.1.2,0.0,
12,ztf,59737.326898099855,1983326890415015001,1,1983326890415,20.39102,1,1983,6.371434,19.03199,19.0798,0.08549638,0.1037,305.8135826,74.2980429,0.91571426,t17_f5_c3,0.9999958,19.0559,0.1294,866120104.0,True,False,False,1.1.2,0.0,
