,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
0,ztf,58849.50668979995,1095506683915015000,1,1095506683915,20.05709,1,1095,0.9637612,19.46943,18.653387,19.3804,0.19277218,0.083282426,0.09091323,0.1654,257.7059359,77.3785557,0.9057143,t17_f5_c3,0.9996011,19.2498,0.1869,864120139.0,False,True,False,bulk_1.0.0,0.0,1105491863915015000
1,ztf,58850.51225689985,1096512253915015000,2,1096512253915,19.715017,1,1096,1.1821414,19.295465,18.332552,19.3577,0.18906951,0.072816506,0.077885464,0.1958,257.7061761,77.3785422,0.80142856,t17_f5_c3,0.99871516,19.4421,0.27,864120239.0,False,True,False,bulk_1.0.0,0.0,1105491863915015000
2,ztf,58850.55328699993,1096553283915015000,1,1096553283915,19.945402,1,1096,0.7325854,19.496002,18.665838,19.3336,0.19093652,0.0808719,0.08888395,0.1386,257.7056428,77.3785377,0.57285714,t17_f5_c3,0.99638224,19.2244,0.1595,864120139.0,False,True,False,bulk_1.0.0,0.0,1105491863915015000
3,ztf,58851.55521989986,1097555213915015001,1,1097555213915,20.003044,1,1097,1.1867781,19.541212,18.68665,19.7398,0.17241743,0.06888969,0.07847952,0.2281,257.7062204,77.3785644,0.8757143,t17_f5_c3,0.9994329,19.4762,0.2285,864120139.0,False,True,False,bulk_1.0.0,0.0,1105491863915015000
4,ztf,58852.52954859985,1098529543915015002,1,1098529543915,20.464123,1,1098,1.2004526,19.540377,18.68627,19.3651,0.17212,0.06878006,0.078376986,0.1436,257.7062424,77.3785632,0.7728571,t17_f5_c3,0.9923609,19.1896,0.1554,864120139.0,False,True,False,bulk_1.0.0,0.0,1105491863915015000
5,ztf,58852.55899310019,1098558993915015000,2,1098558993915,20.40733,1,1098,1.3995011,19.478374,18.40421,19.4457,0.15607826,0.049961556,0.058033165,0.1669,257.7064603,77.3785359,0.8142857,t17_f5_c3,0.99992186,19.2237,0.173,864120239.0,False,True,False,bulk_1.0.0,0.0,1105491863915015000
6,ztf,58853.507696799934,1099507693915015000,1,1099507693915,20.218536,1,1099,0.9871991,19.64987,18.734764,19.7188,0.14484048,0.04840975,0.062351607,0.2096,257.7059679,77.3785094,0.9257143,t17_f5_c3,0.9999429,19.6004,0.2394,864120139.0,False,True,False,bulk_1.0.0,0.0,1105491863915015000
7,ztf,58859.49186340021,1105491863915015000,2,1105491863915,19.551699,1,1105,1.2281954,19.463688,18.398726,19.9467,0.1936705,0.0664174,0.07262369,0.5756,257.7061781,77.3786041,0.87285715,t17_f5_c3,0.99996316,19.9663,0.752,864120239.0,False,True,False,bulk_1.0.0,0.0,1119514693915015000
8,ztf,58864.46804400021,1110468043915015001,1,1110468043915,19.812,1,1110,1.12245,20.0666,18.89501,20.0671,0.25998,0.07572807,0.08836969,0.4567,257.7061416,77.3785373,0.89,t17_f5_c3,,19.841,0.4759,,False,True,False,bulk_1.0.0,0.0,1119514693915015000
9,ztf,58866.533472199924,1112533473915015000,2,1112533473915,20.2338,1,1112,1.38258,20.1398,18.606028,20.3729,0.268393,0.054833904,0.06535261,0.4451,257.7064395,77.3785317,0.731429,t17_f5_c3,,20.5171,0.6491,,False,True,False,bulk_1.0.0,0.0,1119514693915015000
10,ztf,58873.51469910005,1119514693915015000,2,1119514693915,20.25782,1,1119,1.4368442,20.320024,,20.0698,0.20543803,,,0.3125,257.7064787,77.3784547,0.7457143,t17_f5_c3,0.9973849,19.7381,0.294,864120239.0,True,False,True,bulk_1.0.0,0.0,0
