,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,drb,rfid
0,ztf,58881.47112269979,1127471122115015000,1,1127471122115,20.785,1,1127,2.5758,20.6354,20.9604,0.220798,0.463,194.6797533,61.995691,0.602857,t17_f5_c3,20.6472,0.4399,False,False,False,bulk_1.0.0,0.0,1154322872115015001,,,,,
1,ztf,58890.447465300094,1136447462115015000,2,1136447462115,19.2451,1,1136,0.654644,19.3882,19.4389,0.217245,0.3311,194.6785036,61.9955476,0.844286,t17_f5_c3,19.2883,0.3688,False,True,False,bulk_1.0.0,0.0,1150306462115015001,17.570585,0.029927766,0.040728986,,
2,ztf,58892.367939800024,1138367932115015000,1,1138367932115,19.7752,1,1138,0.383172,19.7474,19.9949,0.17582,0.4408,194.6783658,61.9956157,0.975714,t17_f5_c3,19.8057,0.4747,False,True,True,bulk_1.0.0,0.0,1150306462115015001,18.401087,0.044776917,0.0508795,,
3,ztf,58893.446689799894,1139446682115015001,1,1139446682115,20.2315,1,1139,0.339549,19.8152,19.5889,0.183457,0.2209,194.6783631,61.995632,0.957143,t17_f5_c3,19.4879,0.2568,False,True,True,bulk_1.0.0,0.0,1150306462115015001,18.420275,0.04441091,0.05076498,,
4,ztf,58894.36483799992,1140364832115015001,1,1140364832115,20.3975,1,1140,0.428636,19.8266,19.5544,0.149857,0.1749,194.6784665,61.9956875,0.957143,t17_f5_c3,19.6213,0.2364,False,True,True,bulk_1.0.0,0.0,1150306462115015001,18.423418,0.032944318,0.041153282,,
5,ztf,58894.50652780011,1140506522115015001,2,1140506522115,20.278,1,1140,0.189963,19.3554,19.1938,0.121872,0.1501,194.6783325,61.9956483,0.971429,t17_f5_c3,19.1419,0.1809,False,True,False,bulk_1.0.0,0.0,1150306462115015001,17.56436,100.0,0.02341466,,
6,ztf,58895.39056710014,1141390562115015004,1,1141390562115,20.6943,1,1141,1.00436,19.9667,19.445,0.190295,0.1262,194.6787894,61.9956185,0.42,t17_f5_c3,19.4338,0.1575,False,True,True,bulk_1.0.0,0.0,1154322872115015001,18.460127,0.040081393,0.047511432,,
7,ztf,58895.45310189994,1141453102115015001,2,1141453102115,20.5043,1,1141,0.240609,19.3327,19.1801,0.141567,0.1263,194.6783719,61.9956553,0.878571,t17_f5_c3,19.0415,0.1396,False,True,False,bulk_1.0.0,0.0,1150306462115015001,17.559961,0.004091023,0.027660912,,
8,ztf,58898.36458329996,1144364582115015000,2,1144364582115,20.7927,1,1144,1.13436,19.4806,19.0527,0.148872,0.092,194.6788542,61.9955462,0.304286,t17_f5_c3,18.9213,0.1013,False,True,False,bulk_1.0.0,0.0,1154322872115015001,17.58732,100.0,0.026031602,,
9,ztf,58898.38620370021,1144386202115015000,1,1144386202115,21.054686,1,1144,1.9863027,20.02395,19.7225,0.20133798,0.1216,194.6793884,61.9956167,0.24285714,t17_f5_c3,19.5518,0.13,False,False,False,bulk_1.0.0,0.0,1154322872115015001,,,,0.9780191,820120121.0
10,ztf,58899.38971060002,1145389712115015000,1,1145389712115,20.7246,1,1145,1.73218,19.8876,19.5315,0.217302,0.1275,194.6792229,61.9955886,0.33,t17_f5_c3,19.591,0.1693,False,False,False,bulk_1.0.0,0.0,1154322872115015001,,,,,
11,ztf,58900.34783559991,1146347832115015006,1,1146347832115,20.3019,1,1146,1.79754,20.0486,19.3972,0.260564,0.1637,194.679285,61.9956627,0.257143,t17_f5_c3,19.2501,0.1816,False,False,False,bulk_1.0.0,0.0,1154322872115015001,,,,,
12,ztf,58903.3478472,1149347842115015001,1,1149347842115,20.7623,1,1149,1.90704,20.3378,19.9053,0.238353,0.1763,194.679349,61.995651,0.354286,t17_f5_c3,19.8586,0.2129,False,False,False,bulk_1.0.0,0.0,1154322872115015001,,,,,
13,ztf,58904.30646990007,1150306462115015001,1,1150306462115,20.643898,1,1150,1.5750526,20.237926,20.4309,0.17929478,0.315,194.6791483,61.9956463,0.6314286,t17_f5_c3,20.4673,0.4125,False,False,False,bulk_1.0.0,0.0,1154322872115015001,,,,0.8747265,820120121.0
14,ztf,58906.32554400014,1152325542115025001,1,1152325542115,20.4914,1,1152,1.66625,20.27,20.0884,0.248309,0.2418,194.6791551,61.9955439,0.655714,t17_f5_c3,20.0924,0.3075,False,False,False,bulk_1.0.0,0.0,1154322872115015001,,,,,
15,ztf,58906.46452549985,1152464522115025000,2,1152464522115,20.2352,1,1152,0.667117,19.785,19.5171,0.202255,0.1867,194.6786226,61.9956274,0.722857,t17_f5_c3,19.5714,0.2475,False,True,False,bulk_1.0.0,0.0,1154322872115015001,17.634758,100.0,0.027912743,,
16,ztf,58908.3228703998,1154322872115015001,1,1154322872115,20.59402,1,1154,1.9430395,20.180468,20.0188,0.2144507,0.214,194.6793687,61.9956416,0.56285715,t17_f5_c3,19.8019,0.2221,True,False,False,bulk_1.0.0,0.0,0,,,,0.9615427,820120121.0
