,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid
0,ztf,58835.47388890013,1081473880915015009,2,1081473880915,19.456799,1,1081,0.8030157,16.580408,13.5380335,16.8556,0.063741915,100.0,0.003867899,0.0361,169.7938308,80.9227949,0.7128571,t17_f5_c3,0.99972326,16.8138,0.039,873120209.0,False,True,False,bulk_1.0.0,0.0,1.108444400915015e+18
1,ztf,58838.51428239979,1084514280915015006,2,1084514280915,19.0659,1,1084,0.352575,16.9178,13.555775,17.3655,0.19571,100.0,0.008847134,0.093,169.793795,80.9226097,0.304286,t17_f5_c3,,17.4377,0.1178,,False,True,False,bulk_1.0.0,0.0,1.108444400915015e+18
2,ztf,58850.47936340002,1096479360915015008,2,1096479360915,19.836401,1,1096,0.6796233,16.895288,13.554747,16.7342,0.09274975,100.0,0.004276576,0.0303,169.7943021,80.922664,0.61714286,t17_f5_c3,0.9257783,16.7201,0.0327,873120209.0,False,True,False,bulk_1.0.0,0.0,1.123242390915015e+18
3,ztf,58850.532835599966,1096532830915015005,1,1096532830915,20.135374,1,1096,0.52218777,17.817354,14.753411,17.714,0.08411633,100.0,0.0050038383,0.0442,169.7940313,80.9226623,0.79,t17_f5_c3,0.9609358,17.7062,0.0491,873120109.0,False,True,False,bulk_1.0.0,0.0,1.123242390915015e+18
4,ztf,58851.51039349986,1097510390915015011,1,1097510390915,19.765038,1,1097,0.26503918,17.531893,14.73416,17.5611,0.07199,100.0,0.0054724175,0.053,169.7935352,80.9225435,0.91571426,t17_f5_c3,0.9998597,17.5765,0.0628,873120109.0,False,True,False,bulk_1.0.0,0.0,1.123242390915015e+18
5,ztf,58861.44932870008,1107449320915015002,1,1107449320915,18.9229,1,1107,0.67701447,17.487827,14.730747,17.8428,0.13914536,100.0,0.010980868,0.0873,169.7943022,80.922678,0.63714284,t17_f5_c3,0.99524975,17.8449,0.108,873120109.0,False,True,False,bulk_1.0.0,0.0,1.123242390915015e+18
6,ztf,58862.44440970011,1108444400915015009,1,1108444400915,19.467989,1,1108,0.517734,17.726929,14.747816,17.8182,0.085337356,100.0,0.0054890136,0.0717,169.79412,80.9226031,0.87714285,t17_f5_c3,0.9997152,17.7732,0.0835,873120109.0,False,True,False,bulk_1.0.0,0.0,1.123242390915015e+18
7,ztf,58871.409317099955,1117409310915015007,1,1117409310915,20.128256,1,1117,0.87877214,17.781925,14.751271,18.4089,0.13465172,100.0,0.008259435,0.0856,169.7947586,80.9226177,0.5057143,t17_f5_c3,0.68758565,18.3871,0.095,873120109.0,False,True,False,bulk_1.0.0,0.0,1.134281550915015e+18
8,ztf,58872.330902799964,1118330900915015071,2,1118330900915,16.444077,1,1118,0.032101363,13.967471,13.019187,14.0117,0.045222674,0.015703386,0.018881757,0.0468,169.7931955,80.9225856,0.5657143,t17_f5_c3,0.97512966,14.0357,0.0603,873120209.0,False,True,False,bulk_1.0.0,0.0,1.123242390915015e+18
9,ztf,58874.37084490014,1120370840915010035,1,1120370840915,20.535057,-1,1120,0.6939065,17.841618,14.889321,17.9797,0.14015587,100.0,0.009240441,0.0547,169.791996,80.9225674,0.50285715,t17_f5_c3,0.7512963,17.9693,0.0608,873120109.0,False,True,False,bulk_1.0.0,0.0,1.124262070915015e+18
10,ztf,58876.238645799924,1122238640915015080,1,1122238640915,20.180344,1,1122,0.8323231,17.396276,14.723235,17.4512,0.047782164,100.0,0.0040742643,0.04,169.7946742,80.9226214,0.74285716,t17_f5_c3,0.85363114,17.4064,0.0439,873120109.0,True,True,False,bulk_1.0.0,0.0,0.0
11,ztf,58877.24239580007,1123242390915015001,1,1123242390915,19.836485,1,1123,0.8935335,18.113571,14.768944,18.0016,0.10062549,100.0,0.0046222894,0.066,169.7948146,80.9226188,0.76428574,t17_f5_c3,0.79413503,17.966,0.0738,873120109.0,False,True,False,bulk_1.0.0,0.0,1.124262070915015e+18
12,ztf,58878.26207179995,1124262070915015002,1,1124262070915,19.45879,1,1124,0.05262396,15.842591,14.462534,15.9384,0.044515982,0.008274607,0.012488001,0.0106,169.7932271,80.922611,0.54571426,t17_f5_c3,0.9758467,15.889,0.0115,873120109.0,False,True,False,bulk_1.0.0,0.0,1.134281550915015e+18
13,ztf,58885.30128470017,1131301280915010004,1,1131301280915,19.160223,-1,1131,1.0022547,18.32732,14.863805,18.7552,0.17008476,100.0,0.0070026014,0.2263,169.7914194,80.9226244,0.59,t17_f5_c3,0.4541124,18.8537,0.3083,873120109.0,False,True,False,bulk_1.0.0,0.0,1.160361870915015e+18
14,ztf,58888.28155090008,1134281550915015005,1,1134281550915,18.900013,1,1134,0.83295804,17.528881,14.733932,17.7887,0.091910854,100.0,0.0070046564,0.1201,169.7944929,80.9227156,0.81857145,t17_f5_c3,0.9283422,17.769,0.1488,873120109.0,False,True,False,bulk_1.0.0,0.0,1.160361870915015e+18
15,ztf,58890.30409719981,1136304090915010006,1,1136304090915,19.1036,-1,1136,1.10749,18.1446,14.872029,18.6089,0.17455,100.0,0.008568238,0.1858,169.7914429,80.9227396,0.481429,t17_f5_c3,,18.665,0.2431,,False,True,False,bulk_1.0.0,0.0,1.160361870915015e+18
16,ztf,58893.1990278,1139199020915015011,1,1139199020915,20.37409,1,1139,0.23964037,17.580654,14.737791,17.7799,0.08866846,100.0,0.0064658253,0.0517,169.7935667,80.9226309,0.7557143,t17_f5_c3,0.5678485,17.7676,0.0582,873120109.0,False,True,False,bulk_1.0.0,0.0,1.160361870915015e+18
17,ztf,58893.31734950002,1139317340915015012,2,1139317340915,20.211128,1,1139,0.24909265,16.454357,13.529953,16.6575,0.07174377,100.0,0.004853136,0.0289,169.7933287,80.9226599,0.45857143,t17_f5_c3,0.8104019,16.6932,0.0329,873120209.0,False,True,False,bulk_1.0.0,0.0,1.160361870915015e+18
