,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext
0,ztf,59142.38238430023,1388382383615015008,1,1388382383615,20.33354,1,1388,3.696966,20.187836,20.1566,0.20769124,0.2991,24.4315964,-22.7042735,0.8,t17_f5_c3,0.9998563,20.1669,0.3815,248120136.0,True,False,False,bulk_1.0.0,0.0,0,,,
1,ztf,59142.38238430023,1388382383615025008,1,1388382383615,20.3335,1,1388,3.69697,20.1878,20.1566,0.207691,0.2991,24.4315964,-22.7042735,0.8,t17_f5_c3,,20.1669,0.3815,,False,False,False,bulk_1.0.0,0.0,1411294463615015005,,,
2,ztf,59144.31488429988,1390314883615015008,1,1390314883615,20.7056,1,1390,3.8082764,19.521889,19.4519,0.14185111,0.1281,24.4315693,-22.704294,0.88,t17_f5_c3,0.9362415,19.4883,0.1644,248120136.0,False,False,False,bulk_1.0.0,0.0,1411294463615015005,,,
3,ztf,59149.26196759986,1395261963615015000,1,1395261963615,18.5243,1,1395,3.75427,18.4704,18.817,0.249117,0.2341,24.4316683,-22.7043321,0.424286,t17_f5_c3,,18.4547,0.215,,False,False,False,bulk_1.0.0,0.0,1411294463615015005,,,
4,ztf,59149.336087999865,1395336083615015004,2,1395336083615,19.071653,1,1395,0.3806491,18.043219,18.0175,0.093100235,0.1083,24.4317154,-22.7042658,0.8042857,t17_f5_c3,0.9999977,17.9705,0.1323,248120236.0,False,True,False,bulk_1.0.0,0.0,1411294463615015005,17.387306,0.04460583,0.050884582
5,ztf,59150.274120400194,1396274123615015004,2,1396274123615,19.29555,1,1396,0.47997397,18.009457,17.9745,0.08198238,0.0985,24.4317495,-22.7043118,0.92142856,t17_f5_c3,0.9999999,17.9916,0.1276,248120236.0,False,True,False,bulk_1.0.0,0.0,1411294463615015005,17.368725,0.038539685,0.045438882
6,ztf,59150.35679400014,1396356793615015002,1,1396356793615,18.941242,1,1396,3.3916862,18.401646,18.3066,0.12619022,0.1591,24.4317376,-22.7042506,0.78,t17_f5_c3,0.9998015,18.1832,0.1821,248120136.0,False,False,False,bulk_1.0.0,0.0,1411294463615015005,,,
7,ztf,59151.25303239981,1397253033615015000,1,1397253033615,18.961237,1,1397,3.523332,18.251547,18.3117,0.15826602,0.1734,24.4316425,-22.7042425,0.8814286,t17_f5_c3,0.99995494,18.6232,0.2961,248120136.0,False,False,False,bulk_1.0.0,0.0,1411294463615015005,,,
8,ztf,59151.336608800106,1397336603615015000,2,1397336603615,18.986895,1,1397,0.50343925,17.889961,17.9082,0.09924447,0.11,24.4317337,-22.7043129,0.8,t17_f5_c3,0.99992764,17.9286,0.1432,248120236.0,False,True,False,bulk_1.0.0,0.0,1411294463615015005,17.300877,0.05306967,0.05768626
9,ztf,59152.26555560017,1398265553615015003,1,1398265553615,18.9053,1,1398,3.52671,18.0647,18.1064,0.098456,0.1591,24.4317355,-22.7042917,0.871429,t17_f5_c3,,18.0981,0.2024,,False,False,False,bulk_1.0.0,0.0,1411294463615015005,,,
10,ztf,59153.314988399856,1399314983615015000,2,1399314983615,18.92607,1,1399,0.5844921,17.883831,17.9059,0.082331955,0.1255,24.4317287,-22.7043367,0.9128571,t17_f5_c3,0.9999943,17.9628,0.1693,248120236.0,False,True,False,bulk_1.0.0,0.0,1411294463615015005,17.29731,0.0423444,0.047968887
11,ztf,59154.293252300005,1400293253615015002,1,1400293253615,18.90349,1,1400,3.4922416,18.104555,18.3021,0.093822435,0.1923,24.4317496,-22.7042874,0.9085714,t17_f5_c3,0.9999993,18.2885,0.2437,248120136.0,False,False,False,bulk_1.0.0,0.0,1411294463615015005,,,
12,ztf,59156.337303199805,1402337303615015001,1,1402337303615,19.278852,1,1402,3.4891996,18.10789,18.1723,0.08110122,0.1271,24.4317739,-22.7042972,0.9242857,t17_f5_c3,0.9999994,18.194,0.1658,248120136.0,False,False,False,bulk_1.0.0,0.0,1411294463615015005,,,
13,ztf,59158.297025499865,1404297023615015001,1,1404297023615,19.152939,1,1404,3.7920892,18.150736,18.2114,0.11108488,0.0991,24.4316873,-22.7043528,0.62857145,t17_f5_c3,0.99916506,18.1839,0.1233,248120136.0,False,False,False,bulk_1.0.0,0.0,1411294463615015005,,,
