,tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase
0,ztf,59248.29049770022,1494290492415015007,1,1494290492415,20.515932,1,1494,0.9269669,19.224567,18.565773,19.2196,0.11269545,0.05457427,0.0614311,0.1126,134.8732614,-2.9271174,0.9557143,t17_f5_c3,0.99999976,19.0881,0.1266,415120124.0,True,True,False,correction_0.0.1,0.0
1,ztf,59248.363286999986,1494363282415015003,2,1494363282415,20.305595,1,1494,0.9874169,19.325619,18.326328,19.2352,0.12294845,0.023963742,0.048978668,0.1448,134.8732794,-2.9271615,0.91,t17_f5_c3,0.99994844,19.1038,0.1633,415120224.0,True,True,False,correction_0.0.1,0.0
2,ztf,59250.29422450019,1496294222415015006,1,1496294222415,20.14823,1,1496,0.9534394,18.56941,18.161194,18.6083,0.09555348,0.06266541,0.06560848,0.0647,134.8732468,-2.9271606,0.7728571,t17_f5_c3,0.99999154,18.5485,0.0772,415120124.0,True,True,False,correction_0.0.1,0.0
3,ztf,59250.33549770014,1496335492415015010,2,1496335492415,20.152185,1,1496,0.94356984,18.799715,18.085577,18.7868,0.09021167,0.031823795,0.04673127,0.0885,134.8732775,-2.9271415,0.8685714,t17_f5_c3,0.9999298,18.7039,0.1038,415120224.0,True,True,False,correction_0.0.1,0.0
4,ztf,59252.27259259997,1498272592415015004,1,1498272592415,20.621529,1,1498,0.91713256,18.326015,17.988375,18.2852,0.059920225,0.040658206,0.043905344,0.0444,134.8732585,-2.9271193,0.95428574,t17_f5_c3,0.9999993,18.2547,0.0539,415120124.0,True,True,False,correction_0.0.1,0.0
5,ztf,59252.29503470007,1498295032415015001,2,1498295032415,20.653984,1,1498,0.8924436,18.445166,17.88758,18.4791,0.05555967,0.017089674,0.033244938,0.0563,134.8732685,-2.927126,0.95714283,t17_f5_c3,0.9999793,18.4198,0.0667,415120224.0,True,True,False,correction_0.0.1,0.0
6,ztf,59254.27693289984,1500276932415015008,1,1500276932415,20.879696,1,1500,0.95306134,18.040237,17.77192,18.0268,0.043364402,0.031029508,0.03386927,0.0301,134.8732715,-2.9271149,0.9557143,t17_f5_c3,0.99999994,18.0233,0.0367,415120124.0,True,True,False,correction_0.0.1,0.0
7,ztf,59254.37853009999,1500378532415015005,2,1500378532415,20.744652,1,1500,0.88525075,18.207388,17.739145,18.2115,0.056272287,0.026794557,0.036559284,0.0414,134.8732611,-2.9271313,0.9457143,t17_f5_c3,1.0,18.2306,0.0522,415120224.0,True,True,False,correction_0.0.1,0.0
8,ztf,59256.23672450008,1502236722415015004,2,1502236722415,20.620857,1,1502,0.8742841,18.070045,17.647964,18.1345,0.056655195,0.03085603,0.038406756,0.0427,134.87326,-2.9271329,0.94714284,t17_f5_c3,0.99999917,18.1544,0.0541,415120224.0,True,True,False,correction_0.0.1,0.0
9,ztf,59256.294398100115,1502294392415015004,1,1502294392415,20.68394,1,1502,0.89127356,17.887844,17.651114,17.8708,0.05617093,0.04350298,0.04516677,0.0305,134.873257,-2.9271108,0.95,t17_f5_c3,1.0,17.8863,0.0381,415120124.0,True,True,False,correction_0.0.1,0.0
