# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-02 at 20:20:09
#
# Requested input R.A. = 63.47926666666666 degrees
# Requested input Dec. = -6.276663888888889 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2458691.9425231484 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 405 3 2 ZTF_g 452138111015 0 2.8697 78.4896 17.5448 25.9845 4.21657e-05 0.0425706 -0.067563 9.65241e-05 326 30. 0.061688 0.066619 18.7272 25.9845 1 2458206.6381134 405120110 36.428304409137 87.9914383097505 0.460525138039326 0.996515179259277 -33.0612901621782 139.916911888781 -0.237883751179814 1.04175378938468 0.940821353302858 18.6829998016357 0.0700000002980232 5.05299997329712 0.345999985933304 2458347.986331 2458370.978391 0
 1 405 3 2 ZTF_g 580481671015 0 2.3005 77.7987 10.8673 25.9583 2.14161e-05 0.0395011 -0.00538504 4.26483e-05 490 30. 0.068236 0.078682 19.4155 25.9583 1 2458334.9816782 405120110 -52.1688406534167 54.886049747643 -1.05731407039376 1.01981787573387 -83.5703351405922 95.1518726007172 -0.884198953277789 1.0516322183399 0.940821353302858 18.6829998016357 0.0700000002980232 5.05299997329712 0.345999985933304 2458347.986331 2458370.978391 0
 2 405 3 2 ZTF_r 583501281015 0 2.0208 144.778 10.4678 26.0497 7.7688e-06 0.0271286 0.101625 1.15725e-05 629 30. 0.048762 0.055314 19.6765 26.0497 1 2458338.0012847 405120210 27.3619687560195 44.3803242923602 0.685822410529367 1.03934087747703 45.0632351240093 85.7394965136366 0.529122988237552 1.03506687238101 0.874743084474849 17.6209997177124 0.0670000016689301 5.02400016784668 0.259999990463257 2458342.999086 2458385.002315 0
 3 405 3 2 ZTF_r 588499081015 0 2.606 136.971 6.06294 25.992 7.8032e-06 0.0272496 0.10924 1.15522e-05 630 30. 0.054782 0.066333 20.0179 25.992 1 2458342.9990856 405120210 16.2896943418409 31.5753966455669 0.573877135170768 1.1020123695963 97.2100055366318 51.2501721896843 1.90954910658013 1.05905423992714 0.874743084474849 17.6209997177124 0.0670000016689301 5.02400016784668 0.259999990463257 2458342.999086 2458385.002315 0
 4 405 3 2 ZTF_r 591483901015 0 2.0012 135.359 5.06617 25.9803 6.4476e-06 0.0246719 0.105062 9.47965e-06 634 30. 0.054625 0.062145 20.4934 25.9803 1 2458345.9839005 405120210 66.1697560158983 20.908689939773 3.52036352039484 1.21595213759155 43.2693546946816 39.0419510684699 1.11574281243409 1.03419364569755 0.874743084474849 17.6209997177124 0.0670000016689301 5.02400016784668 0.259999990463257 2458342.999086 2458385.002315 0
 5 405 3 2 ZTF_r 591497491015 0 1.7083 138.894 5.35387 25.997 6.2794e-06 0.024342 0.10728 9.23106e-06 635 30. 0.058811 0.058541 20.5011 25.997 3 2458345.9975 405120210 -13.0349284600676 22.3276540062407 -0.649412074868565 1.02459316043555 86.7827515610985 43.605038001295 2.00360422534904 1.03902213433519 0.874743084474849 17.6209997177124 0.0670000016689301 5.02400016784668 0.259999990463257 2458342.999086 2458385.002315 0
 6 405 3 2 ZTF_r 593453031015 0 1.7209 129.657 5.2644 25.9235 6.4568e-06 0.0250313 0.106173 9.55397e-06 641 30. 0.063515 0.063686 20.4427 25.9235 3 2458347.9530324 405120210 -46.5973276595504 21.0450626091715 -2.46300668024127 0.969574746722604 -103.358768001226 41.5648277670865 -2.50343621856285 1.03629352196099 0.874743084474849 17.6209997177124 0.0670000016689301 5.02400016784668 0.259999990463257 2458342.999086 2458385.002315 0
 7 405 3 2 ZTF_g 593486331015 0 2.0998 85.487 4.11063 26.0454 8.5905e-06 0.0289145 -0.0257551 1.30192e-05 639 30. 0.060007 0.066234 20.7822 26.0454 3 2458347.986331 405120110 -10.5932228448127 19.5448281448912 -0.602908009538597 0.893731223080635 2.20549933021946 34.2289103903026 0.0648677819359025 1.06023304309665 0.940821353302858 18.6829998016357 0.0700000002980232 5.05299997329712 0.345999985933304 2458347.986331 2458370.978391 0
 8 405 3 2 ZTF_r 594455371015 0 1.9284 137.498 5.99123 25.9797 5.1548e-06 0.0221184 0.101467 7.59794e-06 633 30. 0.057087 0.066774 20.4583 25.9797 1 2458348.9553704 405120210 -48.3587003320643 19.1388138004521 -2.81069942144847 1.16772007509608 -44.3285752997426 36.753994131149 -1.21421173017507 1.03539563673763 0.874743084474849 17.6209997177124 0.0670000016689301 5.02400016784668 0.259999990463257 2458342.999086 2458385.002315 0
