# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-02 at 22:36:43
#
# Requested input R.A. = 163.38594999999998 degrees
# Requested input Dec. = -4.222969444444445 degrees
# Requested JD start = 2458306.8383796294 days
# Requested JD end = 2458806.8383796294 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 419 7 3 ZTF_g 673540752715 0 2.5295 223.501 6.24709 26.1097 1.24232e-05 0.0300825 -0.049281 2.14399e-05 446 30. 0.065137 0.059747 20.1421 26.1097 1 2458428.0407523 419120127 -19.4510982707448 33.4940235639285 -0.645998645773545 0.877302516475706 -47.8977086856584 55.4299229549651 -0.869932699502828 1.05217173221178 0.94262175840996 19.2199999809265 0.0700000002980232 1.38699996471405 0.128000006079674 2458202.771447 2458464.979919 0
 1 419 7 3 ZTF_g 676520122715 0 2.7625 221.211 4.44929 26.1163 1.11647e-05 0.0292393 -0.0614892 1.82032e-05 468 30. 0.060711 0.065049 20.3919 26.1163 1 2458431.0201273 419120127 31.6520061080577 24.1218243630157 1.45964045290964 1.09613907602583 20.0652433903437 38.2059479425503 0.528723537743511 1.05525585056096 0.94262175840996 19.2199999809265 0.0700000002980232 1.38699996471405 0.128000006079674 2458202.771447 2458464.979919 0
 2 419 7 3 ZTF_g 684483182715 0 2.3612 212.793 5.21856 26.0505 1.33673e-05 0.0316293 -0.0436345 2.13118e-05 467 30. 0.068861 0.078278 20.3293 26.0505 1 2458438.9831829 419120127 -121.73102253272 24.7596684602689 -5.46904184300971 0.974060113621614 -146.046816185499 42.5450915110454 -3.45587339627949 1.0469681826023 0.94262175840996 19.2199999809265 0.0700000002980232 1.38699996471405 0.128000006079674 2458202.771447 2458464.979919 0
 3 419 7 3 ZTF_r 684554242715 0 1.8836 516.191 9.26903 26.2212 7.8833e-06 0.0242839 0.100771 1.23162e-05 472 30. 0.05501 0.052772 20.1405 26.2212 1 2458439.0542477 419120227 63.3991682387312 33.653447565834 2.0956019793229 1.20997923495163 3.38107809344406 64.4510485292989 0.0528129476029558 1.03898707509803 0.964207801878009 18.6020001411438 0.0920000001788139 1.78900003433228 0.163000002503395 2458165.865556 2458447.999699 0
 4 419 7 3 ZTF_g 685525122715 0 1.8636 202.655 4.79454 26.0137 7.8883e-06 0.0245662 -0.0661252 1.22633e-05 478 30. 0.049441 0.055602 20.5364 26.0137 1 2458440.0251273 419120127 -0.0189696910871435 18.0339059582548 -0.00117010614233244 1.08329965180082 26.6404613666819 34.3150790583678 0.781577287382146 1.03698624109462 0.94262175840996 19.2199999809265 0.0700000002980232 1.38699996471405 0.128000006079674 2458202.771447 2458464.979919 0
 5 419 7 3 ZTF_g 687501462715 0 3.4956 180.548 4.96634 25.8935 2.18146e-05 0.0380305 -0.0473957 4.08036e-05 408 30. 0.072679 0.078172 19.8412 25.8935 1 2458442.0014699 419120127 -32.6671938072506 33.9745802336756 -1.06957817042945 1.02486729658001 -39.4855772338272 46.350173964913 -0.857634642286088 1.1043866913029 0.94262175840996 19.2199999809265 0.0700000002980232 1.38699996471405 0.128000006079674 2458202.771447 2458464.979919 0
 6 419 7 3 ZTF_r 687555002715 0 2.2392 247.139 10.9796 25.4201 2.33625e-05 0.0396379 0.102766 3.61176e-05 437 30. 0.061482 0.056541 18.9632 25.4201 1 2458442.055 419120227 25.2274817788963 47.333692513605 0.592868419199988 1.09410277670854 70.4855813948366 83.3903411836236 0.850941545911886 1.0489457430728 0.964207801878009 18.6020001411438 0.0920000001788139 1.78900003433228 0.163000002503395 2458165.865556 2458447.999699 0
 7 419 7 3 ZTF_r 693499692715 0 2.5866 508.357 11.3681 26.2011 1.42541e-05 0.0329426 0.103071 2.23414e-05 477 30. 0.079134 0.081094 19.5547 26.2011 1 2458447.9996991 419120227 -22.3449973220694 58.7866604984499 -0.422820775257472 1.0535754623507 -109.114406731969 95.4183909286806 -1.15123822011735 1.05779929042188 0.964207801878009 18.6020001411438 0.0920000001788139 1.78900003433228 0.163000002503395 2458165.865556 2458447.999699 0
 8 419 7 3 ZTF_r 695476802715 49 1.9631 50.6245 28.1656 24.0154 0.00189216 0.140403 0.0378391 0.00372129 77 30. 0.073307 0.065654 16.5593 24.0154 1 2458449.9768056 419120227 123.542222906072 118.429155483505 1.1604103136313 1.03204751859176 120.913511280764 225.151579231318 0.540648531765021 1.06205338938221 0.964207801878009 18.6020001411438 0.0920000001788139 1.78900003433228 0.163000002503395 2458165.865556 2458447.999699 0
