# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-08-02 at 21:23:07
#
# Requested input R.A. = 18.833791666666663 degrees
# Requested input Dec. = 25.037011111111113 degrees
# Requested JD start = 2458522.6629976854 days
# Requested JD end = 2459022.6629976854 days
# Authenticated program IDs = 1
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 602 5 2 ZTF_g 785141371815 0 3.1532 77.8977 7.46523 26.0557 5.10187e-05 0.0568748 -0.00332752 9.09676e-05 398 30. 0.076436 0.090341 19.6454 26.0557 1 2458539.6413773 602120118 -38.0421164807986 50.790990179553 -0.833168405085003 1.15522140579694 49.2943760119511 71.3087314536597 0.695936885411977 1.12539331080565 2.37303322648425 18.7159997940063 0.068000003695488 4.34499979019165 0.247999995946884 2458280.950174 2458352.934248 0
 1 602 5 2 ZTF_r 879461871815 0 2.4318 160.964 8.36721 25.8778 1.49898e-05 0.0339103 0.127115 2.16655e-05 515 30. 0.103658 0.074969 19.6643 25.8778 2 2458633.961875 602120218 19.9259865805694 41.9418637940283 0.528477995456931 2.25042523876611 -39.5775362018731 73.3287255985818 -0.54336268440554 1.04620840427222 2.19616599833324 17.7540000915527 0.0790000036358833 5.63500022888184 0.578000009059906 2458276.963437 2458368.833056 0
 2 602 5 2 ZTF_r 879464161815 0 2.2216 162.357 8.41568 25.9018 1.65562e-05 0.0357595 0.121736 2.3888e-05 516 30. 0.110109 0.074628 19.6781 25.9018 2 2458633.9641667 602120218 -37.3751408348431 41.3005391720636 -1.00665792654767 4.65131857634633 3.06374267685232 74.346130581936 0.0414867207736362 1.04165200405392 2.19616599833324 17.7540000915527 0.0790000036358833 5.63500022888184 0.578000009059906 2458276.963437 2458368.833056 0
 3 602 5 2 ZTF_r 879466451815 0 2.1955 163.403 8.55683 25.9055 1.21129e-05 0.0305593 0.129044 1.75565e-05 517 30. 0.091287 0.064565 19.676 25.9055 2 2458633.9664583 602120218 36.8113938304145 42.9985420787921 0.952320937019526 2.16281627580131 66.0480257056934 77.1066260740203 0.862349532646611 1.04261428111789 2.19616599833324 17.7540000915527 0.0790000036358833 5.63500022888184 0.578000009059906 2458276.963437 2458368.833056 0
 4 602 5 2 ZTF_r 879470681815 0 2.1623 165.961 8.98648 25.9261 1.73659e-05 0.0365419 0.119379 2.51113e-05 517 30. 0.109926 0.070633 19.6453 25.9261 2 2458633.9706829 602120218 -0.531975204125977 51.771719117798 -0.0114301940824228 1.84206432786984 -51.0467107558726 93.5138578038056 -0.549549708425032 1.041360246539 2.19616599833324 17.7540000915527 0.0790000036358833 5.63500022888184 0.578000009059906 2458276.963437 2458368.833056 0
 5 602 5 2 ZTF_g 889456871815 0 3.3179 72.7362 5.25649 25.9624 3.3938e-05 0.0483978 -0.038072 5.56584e-05 446 30. 0.117866 0.087314 19.9112 25.9624 1 2458643.956875 602120118 16.1797593750211 36.968357102538 0.486851720290638 1.77747753836037 30.3143028468076 51.9652526325054 0.587286116675617 1.10230729677308 2.37303322648425 18.7159997940063 0.068000003695488 4.34499979019165 0.247999995946884 2458280.950174 2458352.934248 0
 6 602 5 2 ZTF_g 892450501815 0 2.2169 64.9038 5.66382 25.8151 2.06241e-05 0.0396437 -0.0434344 3.11601e-05 504 30. 0.076991 0.060032 20.0182 25.8151 1 2458646.9505093 602120118 2.53215120418563 27.5141488787896 0.102373689100202 1.25996674855302 23.6151933475467 48.309804729556 0.492120453943696 1.05504665989533 2.37303322648425 18.7159997940063 0.068000003695488 4.34499979019165 0.247999995946884 2458280.950174 2458352.934248 0
 7 602 5 2 ZTF_g 895474031815 0 1.9591 74.6223 9.83146 26.0027 1.72569e-05 0.0350619 -0.0562603 2.7868e-05 462 30. 0.067295 0.055748 19.7076 26.0027 1 2458649.9740394 602120118 27.7924786022641 47.0705689072171 0.65679922812243 2.27648479925053 -30.1012481876723 86.6836236638735 -0.349592928228246 1.05611799885617 2.37303322648425 18.7159997940063 0.068000003695488 4.34499979019165 0.247999995946884 2458280.950174 2458352.934248 0
 8 602 5 2 ZTF_r 898452951815 0 2.2671 182.344 15.1285 26.021 2.76579e-05 0.0459088 0.109256 4.00354e-05 514 30. 0.079229 0.060488 19.1396 26.021 1 2458652.9529514 602120218 -60.6615736701475 68.10499739737 -0.99080797354864 1.90886911311578 19.2906143298775 120.738906460341 0.160847387943273 1.04349036449085 2.19616599833324 17.7540000915527 0.0790000036358833 5.63500022888184 0.578000009059906 2458276.963437 2458368.833056 0
